content_id,area_code,area_name,content_name,visit_count,token_id,model_version,vocab_version
1019182,11000,서울,이태원 앤티크 가구거리,1,4,shared-next-poi-gru-v1,full-data-content-vocab-v1
1021339,11000,서울,서래 마을 이야기,1,5,shared-next-poi-gru-v1,full-data-content-vocab-v1
1022243,11000,서울,롤링홀,1,6,shared-next-poi-gru-v1,full-data-content-vocab-v1
1030763,11000,서울,뚝섬한강공원,13,7,shared-next-poi-gru-v1,full-data-content-vocab-v1
1036894,11000,서울,북악팔각정,1,8,shared-next-poi-gru-v1,full-data-content-vocab-v1
1059479,11000,서울,여의도 한강공원,23,9,shared-next-poi-gru-v1,full-data-content-vocab-v1
1059877,11000,서울,양화한강공원,2,10,shared-next-poi-gru-v1,full-data-content-vocab-v1
1093200,11000,서울,잠실종합운동장 올림픽 주경기장,6,13,shared-next-poi-gru-v1,full-data-content-vocab-v1
1114020,11000,서울,파리공원,1,15,shared-next-poi-gru-v1,full-data-content-vocab-v1
1131275,11000,서울,매헌 시민의 숲,2,19,shared-next-poi-gru-v1,full-data-content-vocab-v1
1177980,11000,서울,국립중앙박물관 어린이 박물관,1,21,shared-next-poi-gru-v1,full-data-content-vocab-v1
1198901,11000,서울,배재학당 역사박물관,1,22,shared-next-poi-gru-v1,full-data-content-vocab-v1
1221790,11000,서울,센트럴시티터미널(호남),6,23,shared-next-poi-gru-v1,full-data-content-vocab-v1
126479,11000,서울,인왕산,1,44,shared-next-poi-gru-v1,full-data-content-vocab-v1
126480,11000,서울,관악산,1,45,shared-next-poi-gru-v1,full-data-content-vocab-v1
126481,11000,서울,도봉산,2,46,shared-next-poi-gru-v1,full-data-content-vocab-v1
126486,11000,서울,도산 근린공원,3,47,shared-next-poi-gru-v1,full-data-content-vocab-v1
126487,11000,서울,마로니에공원,6,48,shared-next-poi-gru-v1,full-data-content-vocab-v1
126490,11000,서울,서울어린이대공원,10,49,shared-next-poi-gru-v1,full-data-content-vocab-v1
126491,11000,서울,장충단공원,1,50,shared-next-poi-gru-v1,full-data-content-vocab-v1
126492,11000,서울,종묘,3,51,shared-next-poi-gru-v1,full-data-content-vocab-v1
126498,11000,서울,롯데월드,11,52,shared-next-poi-gru-v1,full-data-content-vocab-v1
126499,11000,서울,용산가족공원,2,53,shared-next-poi-gru-v1,full-data-content-vocab-v1
126504,11000,서울,대한불교조계종 봉은사,6,54,shared-next-poi-gru-v1,full-data-content-vocab-v1
126508,11000,서울,경복궁,28,55,shared-next-poi-gru-v1,full-data-content-vocab-v1
126509,11000,서울,덕수궁,25,56,shared-next-poi-gru-v1,full-data-content-vocab-v1
126511,11000,서울,창경궁,5,57,shared-next-poi-gru-v1,full-data-content-vocab-v1
126512,11000,서울,광화문,2,58,shared-next-poi-gru-v1,full-data-content-vocab-v1
126514,11000,서울,흥인지문,1,59,shared-next-poi-gru-v1,full-data-content-vocab-v1
126525,11000,서울,서울 선릉과 정릉,5,60,shared-next-poi-gru-v1,full-data-content-vocab-v1
126532,11000,서울,올림픽공원,15,61,shared-next-poi-gru-v1,full-data-content-vocab-v1
126533,11000,서울,청와대 본관,15,62,shared-next-poi-gru-v1,full-data-content-vocab-v1
126534,11000,서울,미정국수 41 대학로점,4,63,shared-next-poi-gru-v1,full-data-content-vocab-v1
126535,11000,서울,남산공원 N서울타워,16,64,shared-next-poi-gru-v1,full-data-content-vocab-v1
126537,11000,서울,북촌 한옥마을,18,65,shared-next-poi-gru-v1,full-data-content-vocab-v1
126747,11000,서울,남산골 한옥마을,5,68,shared-next-poi-gru-v1,full-data-content-vocab-v1
127269,11000,서울,청담근린공원,1,76,shared-next-poi-gru-v1,full-data-content-vocab-v1
127454,11000,서울,운현궁,2,79,shared-next-poi-gru-v1,full-data-content-vocab-v1
127558,11000,서울,진관사,1,82,shared-next-poi-gru-v1,full-data-content-vocab-v1
127616,11000,서울,정릉,1,84,shared-next-poi-gru-v1,full-data-content-vocab-v1
127642,11000,서울,창덕궁,5,86,shared-next-poi-gru-v1,full-data-content-vocab-v1
127859,11000,서울,한강,1,88,shared-next-poi-gru-v1,full-data-content-vocab-v1
127955,11000,서울,여의도공원,3,91,shared-next-poi-gru-v1,full-data-content-vocab-v1
128144,11000,서울,조계사,9,95,shared-next-poi-gru-v1,full-data-content-vocab-v1
128162,11000,서울,숭례문,7,96,shared-next-poi-gru-v1,full-data-content-vocab-v1
128553,11000,서울,쌈지길,8,98,shared-next-poi-gru-v1,full-data-content-vocab-v1
128611,11000,서울,서울숲,19,99,shared-next-poi-gru-v1,full-data-content-vocab-v1
128776,11000,서울,남산케이블카,2,102,shared-next-poi-gru-v1,full-data-content-vocab-v1
128866,11000,서울,길상사,2,104,shared-next-poi-gru-v1,full-data-content-vocab-v1
128968,11000,서울,서울광장,5,106,shared-next-poi-gru-v1,full-data-content-vocab-v1
129186,11000,서울,덕수궁 돌담길,7,108,shared-next-poi-gru-v1,full-data-content-vocab-v1
