trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
e_e000004,central,2,3,0,0,0,0,40,남,5;3;5;4;5;4;2;5,41,50110;42210;42170,,,,,
e_e000006,central,3,21,0,0,0,0,30,남,3;3;2;4;5;4;3;2,11,26350;26710;50110,,,,,
e_e000009,central,3,2,0,0,0,0,30,여,3;2;3;3;2;6;4;7,28,42150;11440;41650,,,,,
e_e000010,central,3,3,0,0,0,0,30,여,5;4;3;2;5;4;5;3,48,11710;11440;26350,,,,,
e_e000013,central,3,1,0,0,0,0,20,여,6;1;1;2;6;2;1;2,45,11110;30200;46820,,,,,
e_e000014,central,2,2,0,0,0,0,60,남,3;3;2;2;2;4;2;6,28,50130;42720;41820,,,,,
e_e000016,central,2,1,0,0,0,0,30,남,2;6;2;4;5;6;6;1,11,11500;41280;45110,,,,,
e_e000018,central,2,2,0,0,0,0,40,여,2;1;2;7;4;1;2;2,41,41360;42790;11410,,,,,
e_e000020,central,3,28,0,0,0,0,40,여,5;2;2;3;5;3;4;2,11,42230;48310;46130,,,,,
e_e000021,central,3,24,0,0,0,0,20,남,6;2;6;2;2;2;6;2,11,42820;50110;11680,,,,,
e_e000022,central,2,22,0,0,0,0,40,남,1;1;4;3;1;6;6;6,11,42210;44825;41280,,,,,
e_e000023,central,2,4,0,0,0,0,60,남,4;1;2;1;1;4;5;1,28,46710;26350;50130,,,,,
e_e000025,central,2,22,0,0,0,0,40,여,2;6;6;2;2;6;6;1,11,41480;44800;42150,,,,,
e_e000030,central,2,21,0,0,0,0,50,남,2;7;1;5;2;6;5;3,11,41830;41480;42780,,,,,
e_e000037,central,2,22,0,0,0,0,30,여,4;3;1;1;4;4;4;4,11,41460;41820;41830,,,,,
e_e000038,central,3,21,0,0,0,0,30,남,3;2;3;2;2;4;5;3,11,50110;42830;28110,,,,,
e_e000039,central,2,2,0,0,0,0,40,남,1;6;2;3;3;3;3;2,11,41480;42210;28710,,,,,
e_e000040,central,3,3,0,0,0,0,30,남,2;2;4;5;6;4;2;3,41,50110;50130;11440,,,,,
e_e000042,central,2,12,0,0,0,0,20,여,1;1;1;3;2;1;6;5,11,50110;42150;41830,,,,,
e_e000045,central,3,25,0,0,0,0,60,여,3;3;5;4;2;6;2;6,41,42210;43130;41570,,,,,
e_e000046,central,2,5,0,0,0,0,60,남,1;4;3;4;6;5;1;4,41,41820;42150;43130,,,,,
e_e000293,central,2,1,0,0,0,0,30,여,3;1;2;4;2;4;1;4,44,11110;50130;50110,,,,,
e_e000299,central,3,3,0,0,0,0,50,여,4;2;2;5;3;2;2;6,50,50110;11140;46130,,,,,
e_e000301,central,3,22,0,0,0,0,20,남,2;2;1;3;5;3;3;6,28,50130;50110;42150,,,,,
e_e000307,central,2,3,0,0,0,0,30,남,1;4;4;4;1;4;2;6,28,42150;50110;26350,,,,,
e_e000311,central,2,2,0,0,0,0,30,남,2;3;3;2;3;2;2;6,11,41270;28177;42110,,,,,
e_e000323,central,3,22,0,0,0,0,20,여,4;2;2;4;3;6;6;7,11,46110;26350;44130,,,,,
e_e000332,central,3,1,0,0,0,0,20,남,4;1;1;4;7;1;7;1,28,26500;50130;42210,,,,,
e_e000334,central,3,1,0,0,0,0,20,여,3;3;3;6;3;2;6;7,28,41280;11440;47130,,,,,
e_e000338,central,2,21,0,0,0,0,40,여,4;3;4;5;3;3;1;7,41,42210;42830;50130,,,,,
e_e000344,central,3,1,0,0,0,0,30,남,7;1;1;2;1;7;1;7,36,11710;41460;30200,,,,,
e_e000345,central,3,22,0,0,0,0,30,남,6;2;1;6;4;6;6;5,29,11440;50130;26350,,,,,
e_e000346,central,2,21,0,0,0,0,60,남,3;5;4;6;3;5;4;5,11,26200;28710;11440,,,,,
e_e000350,central,2,1,0,0,0,0,30,여,5;2;2;3;6;4;6;5,28,28200;41190;41390,,,,,
e_e000352,central,3,22,0,0,0,0,30,여,6;2;1;2;3;3;4;6,36,50130;26350;42210,,,,,
e_e000353,central,2,1,0,0,0,0,40,여,4;4;5;1;2;3;6;1,41,26350;50130;42150,,,,,
e_e000355,central,2,1,0,0,0,0,40,여,3;3;1;3;4;1;2;6,11,42150;41290;41480,,,,,
e_e000357,central,2,1,0,0,0,0,30,여,1;1;1;3;2;6;3;2,41,41250;50130;11680,,,,,
e_e000360,central,2,21,0,0,0,0,30,남,2;1;1;5;4;2;1;7,41,50130;50110;41610,,,,,
e_e000362,central,3,1,0,0,0,0,40,여,2;2;1;6;3;2;1;6,41,50130;11440;42210,,,,,
e_e000366,central,3,2,0,0,0,0,40,여,2;1;1;2;2;3;2;2,11,50110;41570;26710,,,,,
e_e000369,central,3,1,0,0,0,0,30,여,3;3;5;2;3;4;3;5,41,42150;46130;50130,,,,,
e_e000373,central,2,21,0,0,0,0,60,여,1;1;1;4;1;4;1;4,11,42210;41480;50130,,,,,
e_e000375,central,3,26,0,0,0,0,40,여,1;1;3;5;1;4;2;5,11,41360;41820;45140,,,,,
e_e000376,central,2,3,0,0,0,0,50,여,1;1;4;6;7;1;1;4,11,42210;42760;41110,,,,,
e_e000377,central,2,1,0,0,0,0,30,여,2;3;2;5;3;4;3;6,41,42210;43800;50110,,,,,
e_e000379,central,2,11,0,0,0,0,40,남,4;1;4;1;4;4;1;3,11,50130;26380;31140,,,,,
e_e000385,central,3,8,0,0,0,0,30,남,1;2;5;2;2;3;3;5,41,42150;28710;42230,,,,,
e_e000395,central,3,1,0,0,0,0,40,여,2;3;2;4;4;4;6;5,41,41390;42760;50110,,,,,
e_e000396,central,3,23,0,0,0,0,30,여,3;1;2;5;6;6;1;6,41,50110;42150;44825,,,,,
e_e000397,central,3,21,0,0,0,0,50,여,2;1;4;2;3;2;4;3,11,42820;41820;26410,,,,,
e_e000400,central,2,21,0,0,0,0,50,남,4;5;2;2;5;5;5;5,11,50130;42210;26350,,,,,
e_e000403,central,3,10,0,0,0,0,40,여,2;1;1;3;6;2;6;5,41,42210;47940;26350,,,,,
e_e000406,central,3,11,0,0,0,0,60,여,1;1;1;7;7;4;3;5,11,50130;44825;42230,,,,,
e_e000407,central,2,2,0,0,0,0,50,여,1;7;1;2;7;4;2;6,41,42150;41590;47280,,,,,
e_e000409,central,2,2,0,0,0,0,60,여,4;4;4;6;4;4;4;4,41,50130;46150;42150,,,,,
e_e000412,central,3,1,0,0,0,0,20,여,4;3;3;3;4;5;3;6,41,50110;26500;42210,,,,,
e_e000418,central,3,8,0,0,0,0,40,여,4;4;3;2;4;3;6;5,11,43150;41650;50130,,,,,
e_e000425,central,2,22,0,0,0,0,30,여,1;1;2;4;2;5;2;6,41,50130;50110;42210,,,,,
e_e000429,central,2,1,0,0,0,0,40,여,2;2;6;2;2;6;6;6,28,50130;42210;42810,,,,,
e_e000432,central,3,1,0,0,0,0,20,여,4;3;2;2;5;4;5;5,41,41110;45110;50110,,,,,
e_e000433,central,2,2,0,0,0,0,20,여,2;4;1;4;3;4;2;4,41,45110;47110;41480,,,,,
e_e000435,central,2,11,0,0,0,0,40,여,1;7;4;4;4;4;1;1,11,41450;42210;41610,,,,,
e_e000445,central,3,21,0,0,0,0,30,남,6;2;1;2;1;2;6;6,11,42210;26350;50130,,,,,
e_e000447,central,2,1,0,0,0,0,30,여,1;7;1;1;1;1;7;1,11,41280;41630;41480,,,,,
e_e000448,central,3,22,0,0,0,0,30,남,3;3;3;4;3;3;6;2,41,50130;26380;41570,,,,,
e_e000450,central,2,1,0,0,0,0,20,여,1;7;1;7;1;7;1;7,41,11710;11560;41220,,,,,
e_e000454,central,2,21,0,0,0,0,30,여,4;4;4;3;6;4;2;6,11,41820;42830;41830,,,,,
e_e000460,central,3,1,0,0,0,0,40,여,4;2;3;1;3;4;4;7,41,26350;26500;42150,,,,,
e_e000466,central,3,2,0,0,0,0,30,여,5;3;2;3;2;2;1;3,11,41280;42150;47250,,,,,
e_e000469,central,3,1,0,0,0,0,20,여,5;6;6;6;6;5;5;3,11,42150;47110;50110,,,,,
e_e000473,central,3,1,0,0,0,0,30,남,2;4;7;2;1;4;7;2,27,26350;47210;47130,,,,,
e_e000479,central,3,4,0,0,0,0,50,남,3;3;3;3;5;5;3;5,44,50110;42150;47770,,,,,
e_e000480,central,2,22,0,0,0,0,50,여,2;1;6;1;1;4;1;6,41,41650;48170;28177,,,,,
e_e000481,central,2,1,0,0,0,0,20,여,6;6;6;2;6;6;1;6,41,11710;11680;11440,,,,,
e_e000486,central,2,1,0,0,0,0,20,남,5;3;3;2;3;5;4;4,41,26350;42150;41110,,,,,
e_e000490,central,3,22,0,0,0,0,30,여,3;2;5;2;2;6;6;5,41,50110;42150;11680,,,,,
e_e000491,central,3,12,0,0,0,0,40,남,1;1;1;1;1;1;1;7,41,41650;42210;42110,,,,,
e_e000492,central,2,1,0,0,0,0,50,남,2;5;6;2;2;6;6;6,28,42210;42810;50130,,,,,
e_e000496,central,3,1,0,0,0,0,20,남,4;4;5;3;4;5;2;7,41,42150;50110;50130,,,,,
e_e000504,central,2,21,0,0,0,0,30,여,3;3;3;3;3;3;6;5,41,26350;42210;11710,,,,,
e_e000505,central,2,22,0,0,0,0,40,남,4;6;6;6;4;5;2;6,11,42780;41570;41290,,,,,
e_e000507,central,2,1,0,0,0,0,40,남,4;2;1;4;4;4;4;5,41,28110;42730;44825,,,,,
e_e000510,central,2,13,0,0,0,0,60,여,1;1;2;5;3;4;5;5,11,50130;48220;46130,,,,,
e_e000514,central,2,11,0,0,0,0,60,남,1;1;1;1;1;7;3;5,41,44825;41290;42170,,,,,
e_e000521,central,2,1,0,0,0,0,40,남,5;5;5;6;6;4;5;5,41,42210;42830;50110,,,,,
e_e000523,central,2,11,0,0,0,0,40,남,2;1;2;3;2;3;2;6,11,42150;43150;41830,,,,,
e_e000524,central,2,2,0,0,0,0,40,여,4;7;4;5;7;4;3;7,41,41460;41590;28185,,,,,
e_e000525,central,2,10,0,0,0,0,40,남,2;4;2;3;6;7;2;7,41,42820;46130;41460,,,,,
e_e000526,central,3,1,0,0,0,0,20,여,3;1;2;3;3;2;7;3,44,44180;26350;42150,,,,,
e_e000531,central,3,25,0,0,0,0,20,여,3;1;1;2;6;6;6;6,11,41820;42150;42830,,,,,
e_e000533,central,2,21,0,0,0,0,60,남,2;2;3;2;4;4;3;4,11,50130;42830;48220,,,,,
e_e000540,central,3,2,0,0,0,0,40,여,1;1;1;1;7;6;1;7,41,50130;42230;29140,,,,,
e_e000541,central,2,11,0,0,0,0,40,여,4;3;5;2;3;6;5;6,11,42150;42820;50130,,,,,
e_e000544,central,2,11,0,0,0,0,40,여,4;6;2;6;6;2;6;4,41,11110;11170;42150,,,,,
e_e000547,central,3,2,0,0,0,0,30,남,2;4;3;3;3;5;3;6,41,50130;42150;41280,,,,,
e_e000548,central,3,5,0,0,0,0,40,남,6;2;2;2;5;6;5;4,43,11110;45110;50110,,,,,
e_e000550,central,2,1,0,0,0,0,30,여,1;6;3;2;1;4;6;2,41,41110;43800;50130,,,,,
e_e000552,central,2,22,0,0,0,0,40,여,2;4;5;2;2;6;5;6,11,41830;42150;48220,,,,,
e_e000556,central,2,21,0,0,0,0,30,남,3;2;2;2;2;3;5;6,11,50130;42150;26350,,,,,
e_e000557,central,2,2,0,0,0,0,50,남,3;2;5;3;5;3;5;4,41,42150;26350;28710,,,,,
e_e000560,central,3,8,0,0,0,0,30,여,1;1;3;5;2;6;2;2,11,41820;41650;42720,,,,,
e_e000563,central,3,1,0,0,0,0,20,여,5;3;4;2;5;6;6;7,30,50130;11680;27230,,,,,
e_e000564,central,2,10,0,0,0,0,40,남,1;1;1;2;7;2;2;2,41,42150;41820;42750,,,,,
e_e000566,central,2,1,0,0,0,0,50,여,6;4;2;3;3;6;3;6,11,50110;26350;41280,,,,,
e_e000567,central,3,11,0,0,0,0,30,여,1;1;4;5;4;2;2;6,11,44825;42110;42150,,,,,
e_e000569,central,2,2,0,0,0,0,30,남,1;2;2;2;5;2;6;6,28,28200;41190;41390,,,,,
e_e000579,central,2,12,0,0,0,0,30,남,2;2;2;4;5;5;5;6,28,42210;50130;44825,,,,,
e_e000584,central,2,1,0,0,0,0,30,여,4;3;6;3;6;6;2;6,26,11680;26710;50130,,,,,
e_e000590,central,3,2,0,0,0,0,30,여,5;2;2;2;6;2;2;7,41,50130;26350;11710,,,,,
e_e000591,central,2,1,0,0,0,0,30,남,1;3;2;1;1;1;1;5,41,41820;50110;42830,,,,,
e_e000594,central,3,1,0,0,0,0,30,여,6;2;2;3;5;5;1;3,11,41110;41460;26350,,,,,
e_e000595,central,3,2,0,0,0,0,20,여,2;2;6;2;2;2;2;6,41,42150;50130;50110,,,,,
e_e000597,central,2,2,0,0,0,0,40,남,1;7;1;1;7;7;7;1,11,11440;42210;26350,,,,,
e_e000599,central,3,2,0,0,0,0,40,여,4;4;4;4;4;4;4;4,41,11230;50130;26350,,,,,
e_e000607,central,3,2,0,0,0,0,30,여,1;3;2;4;2;4;6;2,41,48840;45110;42110,,,,,
e_e000608,central,3,1,0,0,0,0,20,여,4;2;4;4;5;4;6;6,47,11440;26350;47110,,,,,
