area,status,error,keyword,title,contentid,contenttypeid,addr1,addr2,mapx,mapy
부산,ok,,4242 샌드위치,,,,,,,
부산,ok,,BIFF 거리,,,,,,,
부산,ok,,BIFF 광장,BIFF 광장,127488,12,부산광역시 중구 구덕로 지하44 (남포동5가),,129.032004281096,35.0980089584166
부산,ok,,BNK 부산은행 아트시네마,BNK부산은행아트시네마 모퉁이극장,3345026,14,부산광역시 중구 광복중앙로 13 (신창동1가),3층,129.030797,35.100515
부산,ok,,CU 당리 반도보라점,,,,,,,
부산,ok,,F1963,F1963,2456767,12,부산광역시 수영구 구락로123번길 20,,129.1154850253,35.1767449923
부산,ok,,KBS 부산홀,,,,,,,
부산,ok,,KTG 상상마당 부산,KT&G 상상마당 부산,4011128,38,부산광역시 부산진구 서면로 39 (부전동),,129.057302821914,35.1542714950768
부산,ok,,KTG 상상마당 부산 (오시고 사진전 전시관),KT&G 상상마당 부산,4011128,38,부산광역시 부산진구 서면로 39 (부전동),,129.057302821914,35.1542714950768
부산,ok,,LUFT MANSION (루프트 맨션),루프트 & 루프트맨션,4011143,38,부산광역시 부산진구 서전로46번길 56 (전포동),1층,129.064734346644,35.1551542387402
부산,ok,,NC백화점 부산대점,NC백화점 부산대점,2931065,38,부산광역시 금정구 부산대학로63번길 2 (장전동),,129.08382445362,35.2322427971605
부산,ok,,NC백화점 서면점,,,,,,,
부산,ok,,NC백화점 해운대점,,,,,,,
부산,ok,,OCT4,,,,,,,
부산,ok,,TROUBADOUR 서면점,TROUBADOUR 서면점,2931381,38,부산광역시 부산진구 중앙대로692번길 31 (부전동),1층,129.060918578681,35.1547226915831
부산,ok,,W 스퀘어,,,,,,,
부산,ok,,YES24 중고서점 부산 서면점,,,,,,,
부산,ok,,YES24 중고서점 수영 F1963점,,,,,,,
부산,ok,,ZARA 롯데 센텀시티점,,,,,,,
부산,ok,,가야 밀면,,,,,,,
부산,ok,,개미집,개미집 본점,2609623,39,부산광역시 중구 중구로30번길 21-1 (신창동2가),,129.0301203552,35.1007609882
부산,ok,,개미집 광안리 본점,,,,,,,
부산,ok,,개미집 광안리점,,,,,,,
부산,ok,,개미집 송도점,,,,,,,"   "
부산,ok,,거인 통닭,,,,,,,
부산,ok,,겐트 베이커리 동부산점,,,,,,,
부산,ok,,겪이,,,,,,,
부산,ok,,고메,고메돈까스,2765466,39,인천광역시 계양구 서부간선로 257,(박촌동),126.7478646372,37.5537738354
부산,ok,,고메,제2회 고메 잇 강남,3524418,15,서울특별시 강남구 영동대로 513 (삼성동),,127.0592179950,37.5119175967
