travel_id,day_index,visit_order,visit_area_id,visit_area_nm
e_e000004,1,1,2304300001,집
e_e000004,1,2,2304300002,화성 관광열차 안내소 연무대 매표소
e_e000004,1,3,2304300003,창룡문
e_e000004,1,4,2304300004,수원 화성 화홍문
e_e000004,1,5,2304300005,집
e_e000006,1,1,2304300001,집
e_e000006,1,2,2304300002,청량리역 경춘선
e_e000006,1,3,2304300003,청평역 경춘선
e_e000006,1,4,2304300004,경춘선 자전거길
e_e000006,1,5,2304300005,베이커리 시어터
e_e000006,1,6,2304300006,백암천
e_e000006,1,7,2304300007,자시오 잣 주꾸미
e_e000006,1,8,2304300008,신창현 풍림아이원 1차 아파트
e_e000006,2,1,2305010001,마석역 경춘선
e_e000006,2,2,2305010002,청량리역
e_e000006,2,3,2305010003,집
e_e000009,1,1,2304290001,친구 친지 집
e_e000009,1,2,2304290002,농협안성팜랜드
e_e000009,1,3,2304290003,스타필드 안성
e_e000009,1,4,2304290004,대동국수 평택역점
e_e000009,1,5,2304290005,편지
e_e000009,1,6,2304290007,호텔 프라하
e_e000009,2,1,2304300001,평택 초등학교
e_e000009,2,2,2304300002,샤오바오 고덕점
e_e000009,2,3,2304300003,평택시 농업 생태원
e_e000009,2,4,2304300004,평택시 로컬푸드 재단
e_e000009,2,5,2304300005,시흥 하늘휴게소 양방향
e_e000009,2,6,2304300006,영남아파트
e_e000010,1,1,2304290001,집
e_e000010,1,2,2304290002,진주 시외버스터미널
e_e000010,1,3,2304290003,서울 남부터미널
e_e000010,1,4,2304290006,충무아트센터 대극장
e_e000010,1,5,2304290004,롯데리아 남부터미널점
e_e000010,1,6,2304290005,다이소 남부터미널점
e_e000010,1,7,2304290009,독립문
e_e000010,1,8,2304290007,스탠더드 커피
e_e000010,1,9,2304290008,연신내 칼국수
e_e000010,1,10,2304290010,친구 집
e_e000010,2,1,2304300001,롯데월드 샤롯데씨어터
e_e000010,2,2,2304300002,미사리밀빛초계국수 롯데월드점
e_e000010,2,3,2304300003,롯데월드 샤롯데씨어터
e_e000010,2,4,2304300004,서울고속버스터미널(경부)
e_e000010,2,5,2304300005,집
e_e000013,1,1,2304280001,집
e_e000013,1,2,2304280002,정안 알밤 휴게소 천안 방향
e_e000013,1,3,2304280003,파주 프리미엄 아울렛
e_e000013,1,4,2304280004,이마트 파주점
e_e000013,1,5,2304280005,해브펀 캠핑 어라운드
e_e000013,2,1,2304290001,이케아 광명점
e_e000013,2,2,2304290002,지중해마을
e_e000013,2,3,2304290003,집
e_e000014,1,1,2305010001,집
e_e000014,1,2,2305010002,에버랜드
e_e000014,1,3,2305010003,집
e_e000016,1,1,2304290001,집
e_e000016,1,2,2304290002,현대 프리미엄 아울렛 김포점
e_e000016,1,3,2304290003,롯데몰 김포공항점
e_e000016,1,4,2304290004,집
e_e000018,1,1,2304290001,친구 친지 집
e_e000018,1,2,2304290003,미소야 일산 화정점
e_e000018,1,3,2304290004,고양어린이 박물관
e_e000018,1,4,2304290002,해솔마을 7단지 롯데캐슬 아파트
e_e000020,1,1,2304290001,집
e_e000020,1,2,2304290002,본가신숙희 진골막국수
e_e000020,1,3,2304290003,아침고요 수목원
e_e000020,1,4,2304290004,나무 아래 오후 N
e_e000020,1,5,2304290005,파르티아 워터하우스
e_e000020,1,6,2304290006,가평군 농협 하나로마트 설악점
e_e000020,1,7,2304290007,파르티아 워터하우스
e_e000020,2,1,2304300001,연청 국장
e_e000020,2,2,2304300002,가평 양떼목장
e_e000020,2,3,2304300003,윤명로
e_e000020,2,4,2304300004,카페 아우라
e_e000020,2,5,2304300005,화도 졸음쉼터 양양 방향
e_e000020,2,6,2304300006,집
e_e000021,1,1,2304290001,집
e_e000021,1,2,2304290009,서울역
e_e000021,1,3,2304290002,남도 사골 순댓국 본점
e_e000021,1,4,2304290003,스타벅스 화성 남양 DT점
e_e000021,1,5,2304290008,현대자동차 남양기술연구소 후문
e_e000021,1,6,2304290004,호텔 헤르메스
e_e000021,1,7,2304290005,마시다 초밥 이자카야
e_e000021,1,8,2304290006,준코인 노래연습장
e_e000021,1,9,2304290007,호텔 헤르메스
e_e000021,2,1,2304300001,머슴 고기 화성 시청 본점
e_e000021,2,2,2304300002,티 카페 차희
e_e000021,2,3,2304300003,남양성모성지
e_e000021,2,4,2304300004,현대자동차 남양기술연구소 후문
e_e000021,2,5,2304300005,수원역
e_e000021,2,6,2304300006,용산역
e_e000021,2,7,2304300007,집
e_e000022,1,1,2304290001,집
e_e000022,1,2,2304290002,향유 갈비
e_e000022,1,3,2304290003,허브아일랜드
e_e000022,1,4,2304290004,소요산
e_e000022,1,5,2304290005,집
e_e000023,1,1,2304290001,집
e_e000023,1,2,2304290002,서울 시티투어버스
e_e000023,1,3,2304290003,나주 소 나주곰탕 경복궁점
e_e000023,1,4,2304290004,광화문광장
e_e000023,1,5,2304290005,스타벅스 광화문점
e_e000023,1,6,2304290006,경복궁
e_e000023,1,7,2304290007,집
e_e000025,1,1,2304300001,집
e_e000025,1,2,2304300003,꼬꼬 오리주물럭
e_e000025,1,3,2304300004,캐널시티
e_e000025,1,4,2304300005,포지티브 스페이스 566
e_e000025,1,5,2304300002,집
e_e000030,1,1,2304290001,집
e_e000030,1,2,2304290002,용산역
e_e000030,1,3,2304290003,가평역 경춘선
e_e000030,1,4,2304290004,하색리
e_e000030,1,5,2304290005,집
e_e000037,1,1,2304300001,친구 친지 집
e_e000037,1,2,2304300003,오서방네 조개찜
e_e000037,1,3,2304300004,카페 가우디
e_e000037,1,4,2304300002,강촌 아파트
e_e000038,1,1,2304280001,사무실
e_e000038,1,2,2304280002,가인
e_e000038,1,3,2304280003,동백정 팔탄점
e_e000038,1,4,2304280009,호텔 더 메이
e_e000038,2,1,2304290002,월문온천
e_e000038,2,2,2304290003,한우 강국
