trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
e_e000003,east,2,5,0,0,0,0,40,남,3;2;2;6;3;1;2;2,41,41570;46230;47920,,,,,
e_e000654,east,2,2,0,0,0,0,30,여,1;1;1;3;7;1;1;7,11,50130;42150;50110,,,,,
e_e006945,east,2,13,0,0,0,0,50,여,2;2;1;1;1;1;7;1,42,48220;50130;41480,,,,,
e_e008914,east,2,1,0,0,0,0,20,여,4;1;2;4;5;6;2;6,41,41820;42150;26350,,,,,
f_f000014,east,2,3,0,0,0,0,30,남,1;3;3;5;4;3;6;1,41,50130;42760;43110,,,,,
f_f000015,east,3,28,0,0,0,0,20,남,4;2;2;5;4;2;5;5,41,50110;42210;47280,,,,,
f_f000019,east,3,1,0,0,0,0,40,여,4;3;5;1;3;2;6;2,48,50130;11110;26350,,,,,
f_f000022,east,3,21,0,0,0,0,50,남,1;1;1;4;4;4;2;4,48,50130;42210;46150,,,,,
f_f000023,east,2,28,0,0,0,0,50,남,1;2;3;3;6;3;3;5,48,50130;50110;31710,,,,,
f_f000034,east,2,1,0,0,0,0,40,여,4;4;4;4;4;4;2;6,11,42110;26350;46130,,,,,
f_f000044,east,3,22,0,0,0,0,40,남,2;7;1;5;1;6;6;2,41,42150;50130;43130,,,,,
f_f000264,east,3,22,0,0,0,0,20,남,6;1;1;1;2;1;1;7,47,27110;30200;11680,,,,,
f_f000265,east,2,3,0,0,0,0,50,남,2;4;2;3;4;3;2;7,26,26260;48250;48730,,,,,
f_f000268,east,3,24,0,0,0,0,40,여,4;1;4;1;5;3;1;7,41,50110;42820;42720,,,,,
f_f000273,east,3,22,0,0,0,0,40,여,4;3;3;4;4;6;2;6,27,47190;47150;26350,,,,,
f_f000274,east,3,22,0,0,0,0,40,남,6;1;2;2;2;3;2;7,11,50110;48840;42830,,,,,
f_f000278,east,2,1,0,0,0,0,40,남,3;4;2;4;3;5;5;4,11,42150;26350;50110,,,,,
f_f000279,east,2,21,0,0,0,0,20,남,4;2;1;3;4;4;3;6,26,26350;27110;50110,,,,,
f_f000311,east,3,1,0,0,0,0,40,여,4;1;4;1;4;2;2;7,41,42150;50130;26350,,,,,
f_f000317,east,2,12,0,0,0,0,40,여,5;4;1;4;4;1;1;7,47,11680;42830;26350,,,,,
f_f000319,east,3,10,0,0,0,0,20,남,7;1;1;3;6;6;7;3,41,50110;48310;26500,,,,,
f_f000323,east,3,3,0,0,0,0,20,여,6;3;2;3;3;6;7;6,11,41110;45110;30200,,,,,
f_f000326,east,3,21,0,0,0,0,50,남,2;1;2;5;7;6;2;2,11,41570;42730;41280,,,,,
f_f000332,east,3,10,0,0,0,0,50,여,2;4;3;1;3;4;3;4,41,42830;41650;46830,,,,,
f_f000337,east,3,21,0,0,0,0,30,남,6;2;2;3;3;5;6;6,28,42150;41110;28110,,,,,
f_f000341,east,3,11,0,0,0,0,30,여,3;3;2;2;5;4;3;4,26,48270;48840;26350,,,,,
f_f000348,east,3,10,0,0,0,0,50,남,3;3;3;3;4;4;2;7,42,42150;28245;47130,,,,,
f_f000354,east,3,3,0,0,0,0,20,여,2;2;5;3;3;3;3;6,27,26500;47110;47130,,,,,
f_f000355,east,3,25,0,0,0,0,30,여,4;3;2;2;2;4;1;7,27,50110;50130;26200,,,,,
f_f000357,east,3,1,0,0,0,0,20,여,3;1;2;1;5;2;3;7,11,50130;26350;43730,,,,,
f_f000362,east,2,10,0,0,0,0,20,남,4;1;2;1;4;4;6;4,41,42210;42780;42110,,,,,
