trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
e_e000668,west,2,2,0,0,0,0,30,여,2;1;6;3;4;5;2;6,43,42150;45800;42210,,,,,
e_e001033,west,2,21,0,0,0,0,30,여,2;2;2;1;5;3;5;7,11,50110;42150;50130,,,,,
e_e001240,west,2,1,0,0,0,0,30,여,4;4;4;1;1;6;6;2,41,42150;11140;50130,,,,,
e_e001423,west,2,21,0,0,0,0,50,여,4;6;3;2;3;3;6;5,44,45110;46150;42150,,,,,
e_e002195,west,2,1,0,0,0,0,20,여,7;7;3;2;6;7;2;7,11,26710;50130;28710,,,,,
e_e003226,west,3,1,0,0,0,0,60,여,1;1;1;4;1;4;5;7,41,50130;47940;48310,,,,,
e_e004944,west,2,1,0,0,0,0,40,남,2;3;2;4;2;2;2;5,43,26350;43745;11500,,,,,
e_e007408,west,2,2,0,0,0,0,30,여,4;6;2;1;7;7;7;7,41,42210;41460;43130,,,,,
e_e011214,west,2,1,0,0,0,0,20,여,3;3;3;6;6;5;6;5,11,41820;26350;41110,,,,,
e_e013132,west,2,2,0,0,0,0,20,여,4;2;2;5;6;3;7;5,11,50130;46130;44270,,,,,
e_e013143,west,2,22,0,0,0,0,30,여,2;2;2;2;1;7;1;7,28,41820;42210;45730,,,,,
e_e013144,west,2,2,0,0,0,0,50,남,4;4;3;5;4;5;5;6,41,47130;42210;11440,,,,,
e_e013149,west,2,21,0,0,0,0,30,여,2;2;3;3;4;4;3;4,41,50130;11110;45110,,,,,
e_e013179,west,2,1,0,0,0,0,20,여,2;6;6;1;1;7;1;2,44,50110;42210;44210,,,,,
e_e013184,west,2,22,0,0,0,0,50,남,6;2;5;7;2;7;7;7,11,42150;41820;45110,,,,,
e_e013188,west,2,2,0,0,0,0,30,여,2;6;7;1;1;4;6;2,28,41480;41460;28720,,,,,
e_e013282,west,2,2,0,0,0,0,20,여,3;2;1;3;7;5;6;5,41,44200;41550;11680,,,,,
f_f001718,west,3,2,0,0,0,0,30,남,1;1;1;4;6;2;7;6,41,41460;42150;44150,,,,,
f_f002508,west,3,22,0,0,0,0,30,남,4;1;2;3;4;3;4;2,27,46900;41390;48310,,,,,
f_f008573,west,2,1,0,0,0,0,60,남,2;4;3;3;3;4;3;3,41,42820;41820;29200,,,,,
f_f009789,west,3,22,0,0,0,0,30,남,1;1;1;1;1;2;4;6,26,48840;48240;48310,,,,,
f_f015537,west,2,1,0,0,0,0,50,여,1;1;1;1;1;7;7;7,41,42150;41610;41570,,,,,
f_f015541,west,2,21,0,0,0,0,20,여,4;1;1;3;5;2;6;5,45,50130;50110;26170,,,,,
f_f016471,west,2,12,0,0,0,0,40,남,2;1;1;1;1;3;6;6,47,27290;48880;26710,,,,,
f_f016830,west,2,1,0,0,0,0,30,여,1;6;4;3;2;4;3;3,27,26710;42760;11230,,,,,
g_g000003,west,3,4,0,0,0,0,30,남,2;3;4;3;5;2;6;5,41,42150;50110;28720,,,,,
g_g000004,west,3,21,0,0,0,0,40,여,6;7;2;3;3;5;6;2,11,41130;42210;30110,,,,,
g_g000009,west,3,8,0,0,0,0,30,남,2;4;2;1;2;2;6;6,41,42720;43130;31170,,,,,
g_g000010,west,3,5,0,0,0,0,20,여,6;2;1;1;4;2;6;2,26,45110;31140;11440,,,,,
g_g000014,west,2,21,0,0,0,0,50,여,1;3;2;3;3;2;3;1,11,50130;42820;26350,,,,,
g_g000017,west,2,2,0,0,0,0,50,여,2;2;2;2;5;6;2;6,44,44180;50130;45800,,,,,
g_g000023,west,3,4,0,0,0,0,40,여,4;3;3;3;4;4;5;5,11,42150;45110;47130,,,,,
g_g000025,west,3,1,0,0,0,0,50,여,6;4;5;4;2;6;3;5,11,50110;29170;44200,,,,,
g_g000191,west,3,3,0,0,0,0,30,여,5;2;5;2;2;5;5;6,11,46130;45110;50110,,,,,
g_g000195,west,2,11,0,0,0,0,20,남,2;1;3;7;4;1;7;6,30,50110;43110;11680,,,,,
g_g000198,west,3,23,0,0,0,0,40,여,4;4;1;2;1;1;1;7,11,46710;50110;30110,,,,,
g_g000208,west,2,1,0,0,0,0,30,여,4;2;1;2;4;4;5;6,29,26710;50130;42150,,,,,
g_g000215,west,3,2,0,0,0,0,30,여,2;2;2;5;2;2;2;7,11,50130;42830;48840,,,,,
g_g000225,west,3,2,0,0,0,0,30,남,2;2;2;3;3;4;4;3,46,50110;42150;26200,,,,,
g_g000226,west,3,2,0,0,0,0,20,남,4;2;2;4;6;3;2;2,30,42210;50110;45110,,,,,
g_g000229,west,3,8,0,0,0,0,20,여,4;4;3;5;4;3;4;5,41,42150;42210;42830,,,,,
g_g000231,west,3,1,0,0,0,0,30,남,4;6;2;2;5;2;6;6,42,11140;41670;43150,,,,,
g_g000233,west,3,1,0,0,0,0,40,남,4;4;4;4;4;6;3;5,46,29155;50130;50110,,,,,
g_g000236,west,2,21,0,0,0,0,50,남,2;4;1;2;4;2;4;4,41,42110;42210;42150,,,,,
g_g000240,west,3,1,0,0,0,0,50,남,1;1;4;1;1;7;7;1,11,42210;42830;48220,,,,,
g_g000248,west,2,1,0,0,0,0,50,남,4;2;2;5;4;5;7;5,36,50110;44180;45110,,,,,
g_g000250,west,2,1,0,0,0,0,50,여,6;2;3;5;3;6;3;4,36,46130;50110;11110,,,,,
g_g000251,west,3,22,0,0,0,0,30,여,1;4;2;4;4;3;5;6,46,46130;26350;42150,,,,,
g_g000252,west,2,10,0,0,0,0,40,남,5;3;5;4;4;5;3;5,44,30200;44230;45140,,,,,
g_g000256,west,3,11,0,0,0,0,30,여,1;1;2;3;4;6;6;3,30,42150;46130;45130,,,,,
g_g000259,west,3,1,0,0,0,0,40,남,2;2;3;3;5;5;2;5,41,42210;45130;28710,,,,,
g_g000280,west,2,24,0,0,0,0,40,남,4;4;2;2;4;2;1;7,29,46710;46110;46790,,,,,
g_g000284,west,2,11,0,0,0,0,60,여,1;7;4;1;4;4;1;7,29,46110;46170;45770,,,,,
g_g000285,west,3,1,0,0,0,0,20,남,6;2;2;2;2;4;1;3,41,42150;30140;50110,,,,,
g_g000286,west,2,1,0,0,0,0,40,남,3;7;3;5;5;6;3;3,43,11440;50130;50110,,,,,
g_g000287,west,3,2,0,0,0,0,30,여,1;1;4;4;4;3;6;5,11,42210;48310;30200,,,,,
g_g000290,west,3,1,0,0,0,0,40,남,2;1;3;3;3;7;3;5,41,42720;41110;41590,,,,,
g_g000306,west,3,11,0,0,0,0,20,여,2;2;2;1;4;4;2;5,11,44210;48850;41280,,,,,
g_g000308,west,3,2,0,0,0,0,20,여,3;3;3;4;5;3;3;5,45,45110;50130;26500,,,,,
g_g000312,west,3,1,0,0,0,0,50,남,4;2;2;2;7;2;1;2,44,11680;44150;30200,,,,,
g_g000314,west,3,1,0,0,0,0,40,여,1;1;4;1;1;4;2;4,41,42210;50130;26350,,,,,
g_g000316,west,3,1,0,0,0,0,30,여,5;6;3;5;6;6;6;5,30,45800;45110;44200,,,,,
g_g000319,west,3,1,0,0,0,0,20,여,2;4;4;4;4;4;4;7,28,42210;11680;26530,,,,,
g_g000334,west,3,1,0,0,0,0,40,남,5;3;3;4;3;3;5;6,41,41820;48310;46230,,,,,
g_g000345,west,3,1,0,0,0,0,30,여,1;4;4;1;1;1;7;1,11,42800;42110;42210,,,,,
g_g000346,west,2,2,0,0,0,0,50,남,2;2;1;6;6;2;2;6,11,48220;44810;43800,,,,,
g_g000348,west,3,1,0,0,0,0,20,여,3;2;3;3;3;3;6;6,41,47130;48840;50110,,,,,
g_g000354,west,3,23,0,0,0,0,40,여,1;4;3;4;2;4;3;4,41,42230;50130;26350,,,,,
g_g000361,west,2,1,0,0,0,0,40,여,4;2;3;4;2;5;5;5,30,42150;50110;26350,,,,,
g_g000365,west,2,1,0,0,0,0,30,여,2;2;4;2;4;2;2;6,41,42150;30140;26350,,,,,
g_g000367,west,3,24,0,0,0,0,20,여,1;2;1;6;4;2;7;7,41,42150;41500;26710,,,,,
g_g000379,west,2,24,0,0,0,0,50,남,1;7;4;4;1;7;4;4,44,44210;46170;45110,,,,,
